Date,Hub,Region,OrderCount,NumberOfPieces,TotalRevenue,Holiday_Indicator_Encoded,Festival_Name_Encoded,Season_Encoded,Year,Month,Day,DayOfWeek,WeekOfYear,IsWeekend,Quarter,OrderCount_lag_1,OrderCount_lag_7,OrderCount_lag_14,OrderCount_rolling_mean_7,OrderCount_rolling_std_7
16-01-2021,Bengaluru_Hub,South,130,-0.835855187,-0.820149528,0,2,3,2021,1,16,5,2,1,1,0.07716399488843338,-0.748997534,-0.90136983,0.6661614954495283,0.7041300246905327
16-01-2021,Kolkata_Hub,East,159,-0.620811685,-0.784023459,0,2,3,2021,1,16,5,2,1,1,-0.140674162,-0.804692287,-1.047933811,0.17118025293629718,-0.080966485
16-01-2021,Hyderabad_Hub,South,141,-0.732876609,-0.719807514,0,2,3,2021,1,16,5,2,1,1,0.5685663482932168,-0.713555419,-0.881154109,0.7578832592379224,0.8413526129673807
16-01-2021,Delhi_Hub,North,112,-0.859075847,-0.730800384,0,2,3,2021,1,16,5,2,1,1,0.213946093258837,-0.900892315,-0.956963064,0.14429628768797456,-0.216936566
16-01-2021,Chennai_Hub,South,137,-0.718742294,-0.590789228,0,2,3,2021,1,16,5,2,1,1,0.5432363300764754,-0.870513359,-1.103527044,0.6598358565675703,-0.038518786
16-01-2021,Mumbai_Hub,West,135,-0.775279553,-0.709668333,0,2,3,2021,1,16,5,2,1,1,0.249408118762275,-0.905955474,-0.931693412,0.3435539124696586,0.08378438624987129
17-01-2021,Bengaluru_Hub,South,152,-0.628888436,-0.766671267,0,2,3,2021,1,17,6,2,1,1,-0.799254635,-0.86038704,-0.653727243,0.6503473982446325,0.7298460916877118
17-01-2021,Kolkata_Hub,East,112,-0.88835407,-0.559573198,0,2,3,2021,1,17,6,2,1,1,-0.65234053,-0.789502809,-0.881154109,0.2186225445509838,-0.157191608
17-01-2021,Hyderabad_Hub,South,144,-0.790423461,-0.80202306,0,2,3,2021,1,17,6,2,1,1,-0.743528595,-0.981902864,-0.835668736,0.7483948009149853,0.8562115305591893
17-01-2021,Delhi_Hub,North,117,-0.885325288,-0.661198892,0,2,3,2021,1,17,6,2,1,1,-0.890442701,-0.905955474,-0.598134009,0.14745910712895421,-0.223141936
17-01-2021,Chennai_Hub,South,137,-0.734895796,-0.454582142,0,2,3,2021,1,17,6,2,1,1,-0.76379261,-0.814818606,-0.820506945,0.6930454606978509,-0.110889241
17-01-2021,Mumbai_Hub,West,96,-0.92974742,-0.812165147,0,2,3,2021,1,17,6,2,1,1,-0.773924617,-0.926208111,-0.724482268,0.3846705652023871,0.006985821610934987
18-01-2021,Chennai_Hub,South,607,1.4498654174840122,1.3417743721524142,0,2,3,2021,1,18,0,3,0,1,-0.76379261,1.458539944383737,1.822698631347693,0.708859557902746,-0.145494567
18-01-2021,Kolkata_Hub,East,667,1.9062018632583604,0.5423798939957083,0,2,3,2021,1,18,0,3,0,1,-0.890442701,0.7750134315602247,2.04507156698419,0.18699435014119292,-0.099036435
18-01-2021,Bengaluru_Hub,South,584,1.5175082092249002,2.2517096053944687,0,2,3,2021,1,18,0,3,0,1,-0.687802555,2.0458664294765327,1.741835745661694,0.7041153287412778,0.6409312562676494
18-01-2021,Hyderabad_Hub,South,545,1.1732366870809783,0.28509338602850914,0,2,3,2021,1,18,0,3,0,1,-0.728330584,2.1623190946242423,2.3988466918604354,0.8274652869394629,0.7135134476483282
18-01-2021,Mumbai_Hub,West,532,1.223716382409999,0.4414800530074897,0,2,3,2021,1,18,0,3,0,1,-0.971498759,1.331960960527531,1.7266739545955692,0.37043787771798126,0.03684560241700619
18-01-2021,Delhi_Hub,North,675,2.184849781474555,1.137875576031775,0,2,3,2021,1,18,0,3,0,1,-0.865112683,1.4079083508412547,1.7115121635294446,0.1601103848928703,-0.247938211
19-01-2021,Kolkata_Hub,East,468,0.879444860266077,1.150787428086018,0,2,3,2021,1,19,1,3,0,1,1.9211893210672084,1.6762557966164113,1.4133302725623234,0.5443929469718325,0.6299410128756354
19-01-2021,Delhi_Hub,North,646,1.6548129805198368,0.9757987844141518,0,2,3,2021,1,19,1,3,0,1,1.9617173502139946,0.6129923322242811,1.7266739545955692,0.3324840444262317,0.26166503902510213
19-01-2021,Bengaluru_Hub,South,501,1.1379009003506637,0.7367685166925584,0,2,3,2021,1,19,1,3,0,1,1.500711018669301,1.6003084063026878,2.4140084829265605,0.5333230789284056,0.2231112996237673
19-01-2021,Mumbai_Hub,West,649,1.92942252310971,1.1305366662348837,0,2,3,2021,1,19,1,3,0,1,1.2372788292151902,1.3572767572987723,1.9490468902320663,0.3403910930286796,-0.026595402
19-01-2021,Hyderabad_Hub,South,604,1.7174078027278226,2.288313120132303,0,2,3,2021,1,19,1,3,0,1,1.303136876578718,1.6003084063026878,1.7519436063724438,0.5586256344562384,0.08227677674439547
19-01-2021,Chennai_Hub,South,571,1.9334608987360318,2.313017296697215,0,2,3,2021,1,19,1,3,0,1,1.6172291024663115,1.185129339254332,2.3280916668851863,0.7578832592379224,-0.030912391
20-01-2021,Bengaluru_Hub,South,370,0.35041765321793894,0.8032637073786574,0,2,3,2021,1,20,2,3,0,1,1.0802327162713934,-0.323692148,0.5844856942808342,0.37043787771798126,-0.118843782
20-01-2021,Chennai_Hub,South,341,0.35142724712451934,0.6433547898149191,0,2,3,2021,1,20,2,3,0,1,1.4348529713057732,0.40033963934585504,0.37222061935508693,0.8353723355419107,0.10545707405128311
20-01-2021,Kolkata_Hub,East,436,0.6098832872091059,0.6101297109211674,0,2,3,2021,1,20,2,3,0,1,0.9130545960409001,-0.065471021,0.2509262908260885,0.3056000791779097,0.19615538544038486
20-01-2021,Hyderabad_Hub,South,292,-0.08976529,-0.254648178,0,2,3,2021,1,20,2,3,0,1,1.6020310915362665,-0.100913137,-0.037147739,0.5586256344562384,0.08227677674439547
20-01-2021,Delhi_Hub,North,363,0.379695876508771,-0.313640791,0,2,3,2021,1,20,2,3,0,1,1.8148032445568945,-0.323692148,0.17006340514008958,0.7072781481822569,0.8413760379978208
20-01-2021,Mumbai_Hub,West,342,0.2322951661480302,-0.178466556,0,2,3,2021,1,20,2,3,0,1,1.8300012554869394,-0.161671049,0.19533305691696426,0.4874621970342082,0.34266106204101154
21-01-2021,Chennai_Hub,South,252,-0.212935747,-0.240480731,0,2,3,2021,1,21,3,3,0,1,0.26967213333566814,0.20793958388442196,-0.234251023,0.7942556828091821,0.10826958959195805
21-01-2021,Hyderabad_Hub,South,282,-0.087746102,-0.303673994,0,2,3,2021,1,21,3,3,0,1,0.021437954811602267,-0.111039455,-0.133172416,0.5965794677479879,0.06106041224196691
21-01-2021,Delhi_Hub,North,306,0.09095201922677192,0.08563977280147425,0,2,3,2021,1,21,3,3,0,1,0.38112421348933034,0.3547712051576209,0.018445494478841556,0.9270940993303048,0.7287474532367911
21-01-2021,Kolkata_Hub,East,298,-0.02010331,-0.029544697,0,2,3,2021,1,21,3,3,0,1,0.750942479453755,-0.105976296,0.20544091762771413,0.5602070441767282,0.2605487957345822
21-01-2021,Mumbai_Hub,West,302,-0.005968996,-0.417857087,0,2,3,2021,1,21,3,3,0,1,0.2747381369790164,0.15224483098769132,0.3823284800658368,0.6234634329963106,0.29703895376093437
21-01-2021,Bengaluru_Hub,South,246,-0.210916559,0.03244284549304939,0,2,3,2021,1,21,3,3,0,1,0.41658623899276837,0.33958172709487616,0.42781385326421123,0.6013236969094568,-0.199782912
22-01-2021,Hyderabad_Hub,South,228,-0.300770417,0.19101094481796507,0,2,3,2021,1,22,4,3,0,1,-0.029222082,0.567423898036047,-0.102848834,0.6218820232758208,0.044725430201027566
22-01-2021,Delhi_Hub,North,381,0.32921618117975016,0.8781049952710914,0,2,3,2021,1,22,4,3,0,1,0.09236200581847823,0.2130027432386702,0.04876907661109116,0.8448607938648484,0.7511925478535864
22-01-2021,Kolkata_Hub,East,327,0.3362833385258131,0.16075561610792508,0,2,3,2021,1,22,4,3,0,1,0.05183397667169196,-0.141418412,0.0841465890987157,0.609230745511904,0.23547433106706153
22-01-2021,Mumbai_Hub,West,362,0.2807556736638902,0.6727399667101653,0,2,3,2021,1,22,4,3,0,1,0.07209799124508509,0.24844485871840785,-0.057363461,0.5981608774684771,0.30426388116695274
22-01-2021,Chennai_Hub,South,291,0.052587450776716095,-0.533035262,0,2,3,2021,1,22,4,3,0,1,-0.181202191,0.5421081012648057,0.2863038033137131,0.6724871343314863,0.1786956337285494
22-01-2021,Bengaluru_Hub,South,293,-0.086736508,0.570164708204314,0,2,3,2021,1,22,4,3,0,1,-0.211598213,0.07629744067396774,-0.153388138,0.4289500373760947,-0.140613842
23-01-2021,Hyderabad_Hub,South,122,-0.87018138,-1.020869389,0,2,3,2021,1,23,5,3,1,1,-0.302786278,-0.743934375,-0.714374407,0.3498795513516173,0.08968381821805357
23-01-2021,Bengaluru_Hub,South,105,-0.943881735,-1.0855468,0,2,3,2021,1,23,5,3,1,1,0.02650395845495055,-0.799629128,-0.74975192,0.4131359401711996,-0.136198662
23-01-2021,Mumbai_Hub,West,108,-0.907536354,-0.701568706,0,2,3,2021,1,23,5,3,1,1,0.3760582098459821,-0.774313331,-0.906423761,0.6376961204807164,0.30626467498260035
23-01-2021,Delhi_Hub,North,142,-0.748020517,-0.522526133,0,2,3,2021,1,23,5,3,1,1,0.47231227906959944,-0.890765996,-0.90136983,0.9255126896098156,0.74366546018672
23-01-2021,Kolkata_Hub,East,125,-0.769221989,-0.672725377,0,2,3,2021,1,23,5,3,1,1,0.19874808232879218,-0.652797506,-0.805345153,0.7151851967847047,0.1843939830614895
23-01-2021,Chennai_Hub,South,99,-0.947920111,-0.990827119,0,2,3,2021,1,23,5,3,1,1,0.016371951168253983,-0.764187012,-0.871046248,0.5080205234005728,0.17594725496211347
24-01-2021,Mumbai_Hub,West,138,-0.785375492,-0.585269067,0,2,3,2021,1,24,6,3,1,1,-0.910706716,-0.971776546,-0.926639482,0.5949980580274981,0.38712527429997307
24-01-2021,Delhi_Hub,North,136,-0.767202801,-0.934770845,0,2,3,2021,1,24,6,3,1,1,-0.738462592,-0.865450199,-0.906423761,0.9729549812245022,0.6536017858197692
24-01-2021,Chennai_Hub,South,147,-0.692492852,-0.617517464,0,2,3,2021,1,24,6,3,1,1,-0.956300748,-0.764187012,-0.815453014,0.44792695402196947,0.2891013446503525
24-01-2021,Kolkata_Hub,East,141,-0.77729874,-0.692418312,0,2,3,2021,1,24,6,3,1,1,-0.824584654,-0.890765996,-0.790183362,0.6614172662880594,0.2832202059409313
24-01-2021,Bengaluru_Hub,South,121,-0.837874375,-0.624445267,0,2,3,2021,1,24,6,3,1,1,-0.925904726,-0.688239622,-0.860938387,0.37360069715896027,-0.055858385
24-01-2021,Hyderabad_Hub,South,146,-0.733886202,-0.641050785,0,2,3,2021,1,24,6,3,1,1,-0.839782665,-0.728744897,-0.982232716,0.31983276666231564,0.14115757369628276
25-01-2021,Chennai_Hub,South,745,2.119226177546828,1.8667480507634702,0,2,3,2021,1,25,0,4,0,1,-0.713132573,1.6154978843654324,1.4537617154053228,0.4637410512268652,0.26331691282744396
25-01-2021,Delhi_Hub,North,563,1.3297237426009427,1.387212082610391,0,2,3,2021,1,25,0,4,0,1,-0.768858614,1.9597927204543126,1.4032224118515735,1.003001765913804,0.5944129140398479
25-01-2021,Hyderabad_Hub,South,544,1.4337119149787256,1.0556300080057788,0,2,3,2021,1,25,0,4,0,1,-0.718198577,1.3015820044020416,2.1562580348024385,0.32299558610329465,0.13620465617762284
25-01-2021,Bengaluru_Hub,South,707,2.0939863298823176,1.6346407438076564,0,2,3,2021,1,25,0,4,0,1,-0.844848668,1.4990452192177228,2.040017636628815,0.32457699582378446,0.03009540455071837
25-01-2021,Mumbai_Hub,West,594,1.4932779554669702,0.7401576054803943,0,2,3,2021,1,25,0,4,0,1,-0.758726606,1.2357609327968144,1.3274134565209494,0.6614172662880594,0.2572076151673081
25-01-2021,Kolkata_Hub,East,589,1.531642523917026,0.8729034533709722,0,2,3,2021,1,25,0,4,0,1,-0.743528595,1.9192874456203268,0.7714811174297067,0.7072781481822569,0.192912799161571
26-01-2021,Hyderabad_Hub,South,622,1.803223284787158,2.305522950766462,0,2,3,2021,1,26,1,4,0,1,1.2980708729353696,1.6003084063026878,1.595271765355821,0.32141417638280484,0.13292092306411782
26-01-2021,Chennai_Hub,South,635,1.7123598331949206,1.5603669672824665,0,2,3,2021,1,26,1,4,0,1,2.3163376052483744,1.4332241476124958,1.1808494762150763,0.681975592654424,0.8515888122994592
26-01-2021,Delhi_Hub,North,653,1.706302269755438,1.5486453395803457,0,2,3,2021,1,26,1,4,0,1,1.394324942158987,1.8129610991811138,0.6097553460577089,0.8258838772189736,0.22602451189300035
26-01-2021,Mumbai_Hub,West,756,2.0596601370585836,1.9785623168521065,0,2,3,2021,1,26,1,4,0,1,1.5513710551027837,1.8281505772438584,1.3526831082978241,0.7594646689584122,0.433752954629128
26-01-2021,Bengaluru_Hub,South,550,1.3721266866773203,1.3590340779323296,0,2,3,2021,1,26,1,4,0,1,2.1238294668011397,1.078802992815119,1.595271765355821,0.5190903914439997,0.568210539054784
26-01-2021,Kolkata_Hub,East,545,1.3852514074628657,1.7234126925569637,0,2,3,2021,1,26,1,4,0,1,1.5260410368860424,0.9117187341249272,1.671080720686445,0.5839281899840711,-0.135748482
