Date,Hub,OrderCount
2021-01-16,Bengaluru_Hub,130
2021-01-16,Kolkata_Hub,159
2021-01-16,Hyderabad_Hub,141
2021-01-16,Delhi_Hub,112
2021-01-16,Chennai_Hub,137
2021-01-16,Mumbai_Hub,135
2021-01-17,Bengaluru_Hub,152
2021-01-17,Kolkata_Hub,112
2021-01-17,Hyderabad_Hub,144
2021-01-17,Delhi_Hub,117
2021-01-17,Chennai_Hub,137
2021-01-17,Mumbai_Hub,96
2021-01-18,Chennai_Hub,607
2021-01-18,Kolkata_Hub,667
2021-01-18,Bengaluru_Hub,584
2021-01-18,Hyderabad_Hub,545
2021-01-18,Mumbai_Hub,532
2021-01-18,Delhi_Hub,675
2021-01-19,Kolkata_Hub,468
2021-01-19,Delhi_Hub,646
2021-01-19,Bengaluru_Hub,501
2021-01-19,Mumbai_Hub,649
2021-01-19,Hyderabad_Hub,604
2021-01-19,Chennai_Hub,571
2021-01-20,Bengaluru_Hub,370
2021-01-20,Chennai_Hub,341
2021-01-20,Kolkata_Hub,436
2021-01-20,Hyderabad_Hub,292
2021-01-20,Delhi_Hub,363
2021-01-20,Mumbai_Hub,342
2021-01-21,Chennai_Hub,252
2021-01-21,Hyderabad_Hub,282
2021-01-21,Delhi_Hub,306
2021-01-21,Kolkata_Hub,298
2021-01-21,Mumbai_Hub,302
2021-01-21,Bengaluru_Hub,246
2021-01-22,Hyderabad_Hub,228
2021-01-22,Delhi_Hub,381
2021-01-22,Kolkata_Hub,327
2021-01-22,Mumbai_Hub,362
2021-01-22,Chennai_Hub,291
2021-01-22,Bengaluru_Hub,293
2021-01-23,Hyderabad_Hub,122
2021-01-23,Bengaluru_Hub,105
2021-01-23,Mumbai_Hub,108
2021-01-23,Delhi_Hub,142
2021-01-23,Kolkata_Hub,125
2021-01-23,Chennai_Hub,99
2021-01-24,Mumbai_Hub,138
2021-01-24,Delhi_Hub,136
2021-01-24,Chennai_Hub,147
2021-01-24,Kolkata_Hub,141
2021-01-24,Bengaluru_Hub,121
2021-01-24,Hyderabad_Hub,146
2021-01-25,Chennai_Hub,745
2021-01-25,Delhi_Hub,563
2021-01-25,Hyderabad_Hub,544
2021-01-25,Bengaluru_Hub,707
2021-01-25,Mumbai_Hub,594
2021-01-25,Kolkata_Hub,589
2021-01-26,Hyderabad_Hub,622
2021-01-26,Chennai_Hub,635
2021-01-26,Delhi_Hub,653
2021-01-26,Mumbai_Hub,756
2021-01-26,Bengaluru_Hub,550
2021-01-26,Kolkata_Hub,545
2021-01-27,Mumbai_Hub,263
2021-01-27,Hyderabad_Hub,293
2021-01-27,Chennai_Hub,268
2021-01-27,Delhi_Hub,357
2021-01-27,Bengaluru_Hub,246
2021-01-27,Kolkata_Hub,289
2021-01-28,Chennai_Hub,371
2021-01-28,Bengaluru_Hub,367
2021-01-28,Kolkata_Hub,333
2021-01-28,Delhi_Hub,328
2021-01-28,Hyderabad_Hub,259
2021-01-28,Mumbai_Hub,316
2021-01-29,Bengaluru_Hub,247
2021-01-29,Kolkata_Hub,327
2021-01-29,Hyderabad_Hub,247
2021-01-29,Delhi_Hub,280
2021-01-29,Chennai_Hub,291
2021-01-29,Mumbai_Hub,245
2021-01-30,Hyderabad_Hub,129
2021-01-30,Mumbai_Hub,112
2021-01-30,Chennai_Hub,135
2021-01-30,Delhi_Hub,142
2021-01-30,Kolkata_Hub,156
2021-01-30,Bengaluru_Hub,149
2021-01-31,Bengaluru_Hub,152
2021-01-31,Chennai_Hub,154
2021-01-31,Delhi_Hub,114
2021-01-31,Kolkata_Hub,112
2021-01-31,Hyderabad_Hub,127
2021-01-31,Mumbai_Hub,122
2021-02-01,Bengaluru_Hub,607
2021-02-01,Hyderabad_Hub,612
2021-02-01,Delhi_Hub,649
2021-02-01,Chennai_Hub,744
2021-02-01,Mumbai_Hub,656
2021-02-01,Kolkata_Hub,654
2021-02-02,Delhi_Hub,649
2021-02-02,Hyderabad_Hub,598
2021-02-02,Mumbai_Hub,761
2021-02-02,Bengaluru_Hub,795
2021-02-02,Kolkata_Hub,798
2021-02-02,Chennai_Hub,654
2021-02-03,Delhi_Hub,338
2021-02-03,Kolkata_Hub,395
2021-02-03,Hyderabad_Hub,287
2021-02-03,Mumbai_Hub,405
